runtime E0 E1
0.2 8.71873 8.71873
0.201 8.77804 8.77804
0.202 8.83746 8.83746
0.203 8.89696 8.89696
0.204 8.95656 8.95656
0.205 9.01623 9.01623
0.206 9.07597 9.07597
0.207 9.13578 9.13578
0.208 9.19565 9.19565
0.209 9.25557 9.25557
0.21 9.31554 9.31554
0.211 9.37554 9.37554
0.212 9.43557 9.43557
0.213 9.49562 9.49562
0.214 9.55568 9.55568
0.215 9.61575 9.61575
0.216 9.67581 9.67581
0.217 9.73586 9.73586
0.218 9.79589 9.79589
0.219 9.85588 9.85588
0.22 9.91583 9.91583
0.221 9.97573 9.97573
0.222 10.0356 10.0356
0.223 10.0953 10.0953
0.224 10.155 10.155
0.225 10.2146 10.2146
0.226 10.2741 10.2741
0.227 10.3335 10.3335
0.228 10.3927 10.3927
0.229 10.4518 10.4518
0.23 10.5107 10.5107
0.231 10.5695 10.5695
0.232 10.6281 10.6281
0.233 10.6865 10.6865
0.234 10.7447 10.7447
0.235 10.8027 10.8027
0.236 10.8604 10.8604
0.237 10.9179 10.9179
0.238 10.9751 10.9751
0.239 11.0321 11.0321
0.24 11.0887 11.0887
0.241 11.1451 11.1451
0.242 11.2011 11.2011
0.243 11.2568 11.2568
0.244 11.3121 11.3121
0.245 11.367 11.367
0.246 11.4215 11.4215
0.247 11.4756 11.4756
0.248 11.5293 11.5293
0.249 11.5825 11.5825
0.25 11.6353 11.6353
0.251 11.6876 11.6876
0.252 11.7393 11.7393
0.253 11.7905 11.7905
0.254 11.8412 11.8412
0.255 11.8913 11.8913
0.256 11.9407 11.9407
0.257 11.9896 11.9896
0.258 12.0378 12.0378
0.259 12.0854 12.0854
0.26 12.1323 12.1323
0.261 12.1784 12.1784
0.262 12.2238 12.2238
0.263 12.2685 12.2685
0.264 12.3123 12.3123
0.265 12.3554 12.3554
0.266 12.3976 12.3976
0.267 12.4389 12.4389
0.268 12.4793 12.4793
0.269 12.5188 12.5188
0.27 12.5574 12.5574
0.271 12.595 12.595
0.272 12.6315 12.6315
0.273 12.6671 12.6671
0.274 12.7015 12.7015
0.275 12.7349 12.7349
0.276 12.7671 12.7671
0.277 12.7982 12.7982
0.278 12.8281 12.8281
0.279 12.8568 12.8568
0.28 12.8842 12.8842
0.281 12.9103 12.9103
0.282 12.9351 12.9351
0.283 12.9585 12.9585
0.284 12.9806 12.9806
0.285 13.0012 13.0012
0.286 13.0204 13.0204
0.287 13.0381 13.0381
0.288 13.0542 13.0542
0.289 13.0688 13.0688
0.29 13.0818 13.0818
0.291 13.0932 13.0932
0.292 13.1029 13.1029
0.293 13.1108 13.1108
0.294 13.1171 13.1171
0.295 13.1215 13.1215
0.296 13.1242 13.1242
0.297 13.125 13.125
0.298 13.1239 13.1239
0.299 13.1209 13.1209
0.3 13.1159 13.1159
0.301 13.1089 13.1089
0.302 13.0999 13.0999
0.303 13.0888 13.0888
0.304 13.0756 13.0756
0.305 13.0602 13.0602
0.306 13.0427 13.0427
0.307 13.0229 13.0229
0.308 13.0009 13.0009
0.309 12.9767 12.9767
0.31 12.95 12.95
0.311 12.9211 12.9211
0.312 12.8897 12.8897
0.313 12.8559 12.8559
0.314 12.8197 12.8197
0.315 12.781 12.781
0.316 12.7397 12.7397
0.317 12.6959 12.6959
0.318 12.6496 12.6496
0.319 12.6006 12.6006
0.32 12.549 12.549
