runtime x0 y0 x1 y1
0.132 8.594505 11.274924 11.405495 8.725076
0.133 8.595447 11.274532 11.404553 8.725468
0.134 8.596393 11.274136 11.403607 8.725864
0.135 8.597342 11.273738 11.402658 8.726262
0.136 8.598295 11.273336 11.401705 8.726664
0.137 8.599252 11.272931 11.400748 8.727069
0.138 8.600212 11.272523 11.399788 8.727477
0.139 8.601175 11.272111 11.398825 8.727889
0.14 8.602142 11.271697 11.397858 8.728303
0.141 8.603112 11.271279 11.396888 8.728721
0.142 8.604086 11.270858 11.395914 8.729142
0.143 8.605064 11.270434 11.394936 8.729566
0.144 8.606045 11.270006 11.393955 8.729994
0.145 8.607030 11.269576 11.392970 8.730424
0.146 8.608018 11.269142 11.391982 8.730858
0.147 8.609009 11.268705 11.390991 8.731295
0.148 8.610005 11.268265 11.389995 8.731735
0.149 8.611003 11.267821 11.388997 8.732179
0.15 8.612006 11.267375 11.387994 8.732625
0.151 8.613011 11.266925 11.386989 8.733075
0.152 8.614021 11.266472 11.385979 8.733528
0.153 8.615033 11.266015 11.384967 8.733985
0.154 8.616050 11.265556 11.383950 8.734444
0.155 8.617070 11.265093 11.382930 8.734907
0.156 8.618093 11.264627 11.381907 8.735373
0.157 8.619120 11.264158 11.380880 8.735842
0.158 8.620151 11.263685 11.379849 8.736315
0.159 8.621185 11.263209 11.378815 8.736791
0.16 8.622222 11.262730 11.377778 8.737270
0.161 8.623263 11.262248 11.376737 8.737752
0.162 8.624308 11.261763 11.375692 8.738237
0.163 8.625356 11.261274 11.374644 8.738726
0.164 8.626408 11.260782 11.373592 8.739218
0.165 8.627463 11.260287 11.372537 8.739713
0.166 8.628522 11.259789 11.371478 8.740211
0.167 8.629584 11.259287 11.370416 8.740713
0.168 8.630650 11.258782 11.369350 8.741218
0.169 8.631719 11.258274 11.368281 8.741726
0.17 8.632792 11.257762 11.367208 8.742238
0.171 8.633869 11.257248 11.366131 8.742752
0.172 8.634948 11.256730 11.365052 8.743270
0.173 8.636032 11.256209 11.363968 8.743791
0.174 8.637119 11.255684 11.362881 8.744316
0.175 8.638209 11.255157 11.361791 8.744843
0.176 8.639303 11.254626 11.360697 8.745374
0.177 8.640401 11.254092 11.359599 8.745908
0.178 8.641502 11.253555 11.358498 8.746445
0.179 8.642606 11.253014 11.357394 8.746986
0.18 8.643714 11.252470 11.356286 8.747530
0.181 8.644826 11.251923 11.355174 8.748077
0.182 8.645941 11.251373 11.354059 8.748627
0.183 8.647060 11.250820 11.352940 8.749180
0.184 8.648182 11.250263 11.351818 8.749737
0.185 8.649307 11.249703 11.350693 8.750297
0.186 8.650436 11.249140 11.349564 8.750860
0.187 8.651569 11.248574 11.348431 8.751426
0.188 8.652705 11.248004 11.347295 8.751996
0.189 8.653844 11.247431 11.346156 8.752569
0.19 8.654987 11.246855 11.345013 8.753145
0.191 8.656133 11.246276 11.343867 8.753724
